gender,muscle_group,exercise_name,relative_path,size_bytes
girl,Back,"Cable One Arm Twisting Seated Row","girl/Back/Cable One Arm Twisting Seated Row.mp4",421440
girl,Back,"Cable Pulldown","girl/Back/Cable Pulldown.mp4",645228
girl,Back,"Cable Seated High Row (V-bar)","girl/Back/Cable Seated High Row (V-bar).mp4",614338
girl,Back,"Cable Seated Row (normal grip)","girl/Back/Cable Seated Row (normal grip).mp4",253674
girl,Back,"Cable Seated Row (parallel grip)","girl/Back/Cable Seated Row (parallel grip).mp4",299458
girl,Back,"Cable Seated Row (wide-grip)","girl/Back/Cable Seated Row (wide-grip).mp4",327103
girl,Back,"Cable Straight Arm Pulldown","girl/Back/Cable Straight Arm Pulldown.mp4",409362
girl,Back,"Cable Straight Back Seated High Row (reverse-grip)","girl/Back/Cable Straight Back Seated High Row (reverse-grip).mp4",492202
girl,Back,"Cable Straight Back Seated Row (V-grip)","girl/Back/Cable Straight Back Seated Row (V-grip).mp4",299192
girl,Back,"Cambered Bar Lying Row","girl/Back/Cambered Bar Lying Row.mp4",6446659
girl,Back,"Chin-ups  Pull-Ups","girl/Back/Chin-ups  Pull-Ups.mp4",592784
girl,Back,"Chin-ups (narrow parallel grip)","girl/Back/Chin-ups (narrow parallel grip).mp4",520168
girl,Back,"Close Grip Chin-up","girl/Back/Close Grip Chin-up.mp4",499979
girl,Back,"Commando Pull-up","girl/Back/Commando Pull-up.mp4",864855
girl,Back,"Dumbbell Bent-over Row","girl/Back/Dumbbell Bent-over Row.mp4",528373
girl,Back,"Dumbbell Deadlift","girl/Back/Dumbbell Deadlift.mp4",747329
girl,Back,"Dumbbell Hammer Grip Incline Bench Row","girl/Back/Dumbbell Hammer Grip Incline Bench Row.mp4",471333
girl,Back,"Dumbbell Incline Row","girl/Back/Dumbbell Incline Row.mp4",454195
girl,Back,"Dumbbell Lying Rear Delt Row","girl/Back/Dumbbell Lying Rear Delt Row.mp4",364616
girl,Back,"Dumbbell Palm Rotational Bent Over Row","girl/Back/Dumbbell Palm Rotational Bent Over Row.mp4",691505
girl,Back,"Dumbbell Reverse Grip Row","girl/Back/Dumbbell Reverse Grip Row.mp4",643713
girl,Back,"Dumbbell Stiff Leg Deadlift","girl/Back/Dumbbell Stiff Leg Deadlift.mp4",707527
girl,Back,"Hammer Grip Pull-up","girl/Back/Hammer Grip Pull-up.mp4",510625
girl,Back,"Inverted Row Between Chairs","girl/Back/Inverted Row Between Chairs.mp4",770251
girl,Back,"Inverted Row With Straps","girl/Back/Inverted Row With Straps.mp4",396055
girl,Back,"Kettlebell Deadlift","girl/Back/Kettlebell Deadlift.mp4",719962
girl,Back,"Lever Back Extension","girl/Back/Lever Back Extension.mp4",603148
girl,Back,"Lever High Row","girl/Back/Lever High Row.mp4",445314
girl,Back,"Lever Reverse Hyperextension","girl/Back/Lever Reverse Hyperextension.mp4",815365
girl,Back,"Lever Reverse T-Bar Row","girl/Back/Lever Reverse T-Bar Row.mp4",489026
girl,Back,"Lever T-bar Row","girl/Back/Lever T-bar Row.mp4",743479
girl,Back,"Pull-up (shoulder grip)","girl/Back/Pull-up (shoulder grip).mp4",539874
girl,Back,"Pull-up (wide back grip)","girl/Back/Pull-up (wide back grip).mp4",601691
girl,Back,"Pull-up (wide front grip)","girl/Back/Pull-up (wide front grip).mp4",534248
girl,Back,"Reverse Grip Machine Lat Pulldown","girl/Back/Reverse Grip Machine Lat Pulldown.mp4",692057
girl,Back,"Reverse Grip Pull-up","girl/Back/Reverse Grip Pull-up.mp4",605397
girl,Back,"Ring High Row","girl/Back/Ring High Row.mp4",801691
girl,Back,"Single Dumbbell Stiff Leg Deadlift","girl/Back/Single Dumbbell Stiff Leg Deadlift.mp4",746101
girl,Back,"Smith Deadlift - Deadlift","girl/Back/Smith Deadlift - Deadlift.mp4",640021
girl,Back,"Stretching - Dynamic Back Stretch","girl/Back/Stretching - Dynamic Back Stretch.mp4",314284
girl,Back,"Stretching - Elbows Back Stretch","girl/Back/Stretching - Elbows Back Stretch.mp4",294727
girl,Back,"Stretching - Kneeling Lat Stretch","girl/Back/Stretching - Kneeling Lat Stretch.mp4",676600
girl,Back,"Stretching - Middle Back Stretch","girl/Back/Stretching - Middle Back Stretch.mp4",702357
girl,Back,"Stretching - Seated Lower Back Stretch","girl/Back/Stretching - Seated Lower Back Stretch.mp4",261744
girl,Back,"Stretching - Seated Wide Angle Pose Sequence","girl/Back/Stretching - Seated Wide Angle Pose Sequence.mp4",696133
girl,Back,"Stretching - Sitting Bent Over Back Stretch","girl/Back/Stretching - Sitting Bent Over Back Stretch.mp4",711306
girl,Back,"Stretching - Slopes Towards Stretch","girl/Back/Stretching - Slopes Towards Stretch.mp4",909370
girl,Back,"Stretching - Spine Stretch Forward","girl/Back/Stretching - Spine Stretch Forward.mp4",693518
girl,Back,"Stretching - Spine Stretch","girl/Back/Stretching - Spine Stretch.mp4",506827
girl,Back,"Stretching - Standing Back Rotation Stretch","girl/Back/Stretching - Standing Back Rotation Stretch.mp4",275400
girl,Back,"Stretching - Standing Lateral Stretch","girl/Back/Stretching - Standing Lateral Stretch.mp4",346876
girl,Biceps,"Barbell Curl","girl/Biceps/Barbell Curl.mp4",693100
girl,Biceps,"Barbell Drag Curl","girl/Biceps/Barbell Drag Curl.mp4",364031
girl,Biceps,"Cable One Arm Curl","girl/Biceps/Cable One Arm Curl.mp4",242331
girl,Biceps,"Cable Standing Inner Curl","girl/Biceps/Cable Standing Inner Curl.mp4",302837
girl,Biceps,"Dumbbell Alternate Biceps Curl","girl/Biceps/Dumbbell Alternate Biceps Curl.mp4",388918
girl,Biceps,"Dumbbell Alternate Seated Biceps Curl","girl/Biceps/Dumbbell Alternate Seated Biceps Curl.mp4",261446
girl,Biceps,"Dumbbell Biceps Curl","girl/Biceps/Dumbbell Biceps Curl.mp4",305120
girl,Biceps,"Dumbbell Concentration Curl","girl/Biceps/Dumbbell Concentration Curl.mp4",310787
girl,Biceps,"Dumbbell Cross Body Hammer Curl","girl/Biceps/Dumbbell Cross Body Hammer Curl.mp4",413155
girl,Biceps,"Dumbbell Incline Biceps Curl","girl/Biceps/Dumbbell Incline Biceps Curl.mp4",336644
girl,Biceps,"Dumbbell Incline Curl","girl/Biceps/Dumbbell Incline Curl.mp4",287264
girl,Biceps,"Dumbbell Incline Hammer Curl","girl/Biceps/Dumbbell Incline Hammer Curl.mp4",331532
